お玉が池,お玉が池,オタマガイケ,名詞
竹内蘭石,竹内蘭石,タケウチランセキ,名詞
恋患い,恋患い,コイワズライ,名詞
八五郎,八五郎,ハチゴロウ,名詞
熊五郎,熊五郎,クマゴロウ,名詞
八っつぁん,八っつぁん,ハッツァン,名詞
佐平次,佐平次,サヘイジ,名詞
若い衆,若い衆,ワカイシュウ,名詞
幇間,幇間,タイコ,名詞
一八,一八,イッパチ,名詞
源兵衛,源兵衛,ゲンベエ,名詞
甚兵衛,甚兵衛,ジンベエ,名詞
清兵衛,清兵衛,セイベエ,名詞
金兵衛,金兵衛,キンベエ,名詞
六兵衛,六兵衛,ロクベエ,名詞
喜瀬川,喜瀬川,キセガワ,名詞
杢兵衛,杢兵衛,モクベエ,名詞
定吉,定吉,サダキチ,名詞
金坊,金坊,キンボウ,名詞
大岡越前守,大岡 越前 守,オオオカ エチゼン ノカミ,名詞
三太夫,三太夫,サンダユウ,名詞
杉平柾目正,杉平 柾目正,スギダイラ マサメノショウ,名詞
赤井御門守,赤井 御門守,アカイ ゴモンノカミ,名詞
石川五右衛門,石川 五右衛門,イシカワ ゴエモン,名詞
千代田卜斎,千代田 卜斎,チヨダ ボクサイ,名詞
高木佐久左衛門,高木 佐久左衛門,タカギ サクザエモン,名詞
和泉屋与兵衛,和泉屋 与兵衛,イズミヤ ヨヘイ,名詞
垂乳根,垂乳根,タラチネ,名詞
文七元結,文七元結,ブンシチモットイ,名詞
